id,answer
TEST_0060," ○○은행은 어디야?
=금융감독원이 "
TEST_0061," 20만원
 "
TEST_0062," 2만원
 "
TEST_0063," 중도해지금리는 상품별로 다르지만, "
TEST_0064, 원금과 이자를 합쳐 5000만원까지
TEST_0065," 감사원 사무총장
이번에 새로 나온 "
TEST_0066, 검찰이 정치적 중립을 훼손한다고 생
TEST_0067, 검찰과의 전용회선이 민정수석실에 연
TEST_0068, 검찰 출신이 아닌 사람을 임명한 것
TEST_0069, 감사원 출신이지만 조용하고 묵직한 
TEST_0070," 한진그룹
 "
TEST_0071, 50%이번에 새로 나온 제품은 어떤
TEST_0072, 30.77%이번에 새로 나온 제품은
TEST_0073," 259대
 "
TEST_0074," 15조원
 "
TEST_0075," 1만4622필지, 1060만8000"
TEST_0076, 31.4%이번에 새로 출시된 제품은
TEST_0077," 애월읍은 1624필지, 116만60"
TEST_0078, 0.00%이번에 새로 출시된 제품은
TEST_0079," 제주도 부동산시장 상황은 보합, 안"
TEST_0080," 7월
 "
TEST_0081," 70억원
 "
TEST_0082," 4631㎡
제주시 중앙로 사거리 옛"
TEST_0083, 다목적 강당과 공유주방(모두의 부엌
TEST_0084, 지하 1ㆍ2층에 설치돼 있어 접근성
TEST_0085," 12일
 "
TEST_0086, 광주 217번 확진자로 분류되었어.
TEST_0087, 광주시는 상무지구에 위치한 18곳의
TEST_0088, 광주시는 지난 16일부터 오는 25
TEST_0089, 광주시는 휴대전화 위성위치확인시스템
TEST_0090, 비스포크 식기세척기이번에 새로 나온
TEST_0091, '360도 제트샷'과 '열풍건조'야
TEST_0092, 비스포크 식기세척기 라인업은 프리스
TEST_0093, 비스포크 식기세척기의 출고가는 제품
TEST_0094, 11일부터 내달 8일까지야.이번에 
TEST_0095, 윤 총장의 의사와 상관없이 추 장관
TEST_0096, 4개야. 검사장 승진을 희망하는 검
TEST_0097," 1년
 "
TEST_0098," 배용원 검사장
이번에 새로 나온 제"
TEST_0099, 배용원 검사장은 윤석열 검찰총장과 
TEST_0100, 8.26%이번에 새로 나온 신제품은
TEST_0101," 경기도 구리시
 "
TEST_0102," 15.78%
 "
TEST_0103," 8억8855만원
 "
TEST_0104," 5억4981만원
 "
TEST_0105, A씨는 초등학교 교사야.이번에 새로
TEST_0106," 결혼 후 12년 만이야
이번에 새로"
TEST_0107," 60~80대
이번에 새로 나온 제품"
TEST_0108, 64.7%이번에 새로 출시된 제품은
TEST_0109," 19만8000명
이번에 새로 나온 "
TEST_0110, A씨는 쿠팡플렉스에 가입해 배달 일
TEST_0111, 삼성화재 부설 삼성교통안전문화연구소
TEST_0112, 10만 명 수준이에요. 신종코로나바
TEST_0113," 550대
 "
TEST_0114, 40% 수준을 더 내야 해.이번에 
TEST_0115," 뱅앤올룹슨
이번에 새로 출시된 제품"
TEST_0116, 25%와 18%이번에 출시된 신제품
TEST_0117, 56% 증가했어.이번에 새로 나온 
TEST_0118," 141%
 "
TEST_0119," 3조원
 Answer: 3조원이번에"
TEST_0120, 7일부터 13일까지야.이번에 출시된
TEST_0121, 8월 21일이야.이번에 출시된 신제
TEST_0122," 119만9000원
 "
TEST_0123, 145만2000원이에요.이번에 새로
TEST_0124, 7일부터 13일까지 사전 예약을 진
TEST_0125, 정석훈 울산의대 서울아산병원 정신의
TEST_0126, 정 교수는 수험생이 가져야 하는 최
TEST_0127, 탄수화물과 신선한 야채를 충분히 포
TEST_0128, 신경안정제를 복용하기 전에 반드시 
TEST_0129," 18~22도
 "
TEST_0130," 엑스코프리
⓹ SK바이오팜의 주가는"
TEST_0131, 미국에서 세노바메이트는 지난 5월부
TEST_0132," SK라이프사이언스
⓹ SK바이오팜의"
TEST_0133, 유럽의약품청(EMA)이번에 새로 나
TEST_0134, 7건이야.이번에 새로 나온 신제품은
TEST_0135, 앤트그룹은 이번 IPO로 약 345
TEST_0136," 중국증권감독위원회
 "
TEST_0137, 중국인민은행과 중국은행보험감독위원회
TEST_0138, 상장을 유예시켰어.이번에 새로 나온
TEST_0139, 중국 당국이 결정했지.이번에 새로 
TEST_0140, 더불어민주당이야.이번에 새로 출시된
TEST_0141," 김회재
"
TEST_0142, 국토교통부 장관이야.이번에 새로 출
TEST_0143, 공무원이나 공공기관 임직원은 정부 
TEST_0144, 공직자와 공직자 가족이 부동산 거래
TEST_0145, 청와대가 개입한 것이라고 주장한 건
TEST_0146," 청와대 개입설이 나온 건데, 이게 "
TEST_0147, 특수경비업을 수행하던 보안검색요원들
TEST_0148," 2017년 12월 1일
 "
TEST_0149, 구본환 전 사장은 국정감사 사흘 전
TEST_0150," 1272건
 "
TEST_0151, 91.8%이번에 새로 나온 신제품은
TEST_0152, 만 24세 이하에서 만 34세 이하
TEST_0153, 만 24세 이하 미혼모는 약 170
TEST_0154, 양육비 채무자가 양육비를 지급하지 
TEST_0155, 미국 신정부 출범과 한국에의 시사점
TEST_0156, 트럼프 대통령이 재선에 성공할 경우
TEST_0157, 미국의 ‘자국 우선주의’는 지속될 
TEST_0158, 미국 싱크탱크인 애틀랜틱 카운슬의 
TEST_0159, 안호영 총장은 “바이든은 동맹국과 
TEST_0160," 3일
 "
TEST_0161," 345억 달러
 "
TEST_0162," 알리페이
 "
TEST_0163, 앤트그룹은 소액대출과 간편결제 서비
TEST_0164," 2018년 10월 10일
 "
TEST_0165, 함평군의 올해 개별공시지가는 전년대
TEST_0166, 개별공시지가를 산정하는 프로세스는 
TEST_0167, 함평군청 홈페이지에서 열람 가능해.
TEST_0168, 6월30일까지야.이번에 새로 출시된
TEST_0169," 7월30일
 "
TEST_0170, 소켓 인증은 문자메시지로 받은 일련
TEST_0171, 통신사 본인인증은 크게 두 가지 방
TEST_0172, 패스인증이 1위야. 패스인증은 20
TEST_0173," 패스인증은 건당 30원, 문자인증은"
TEST_0174, 통신3사가 만든 패스인증은 카카오페
TEST_0175, 라임자산운용 사건과 관련해 검사 비
TEST_0176," 윤석열 검찰총장
 "
TEST_0177, 추 장관은 22일 오후 7시 50분
TEST_0178," 검찰청법 위반 소지가 있어.
 Qu"
TEST_0179, 검사 비위 의혹과 관련해 윤 총장은
TEST_0180, 완도군은 4일부터 14일까지 11일
TEST_0181, 울타리USA 자사몰(wooltari
TEST_0182," 다시마전복수산영어조합법인, 흥일식품"
TEST_0183," 2006년
 "
TEST_0184," 3만 6000달러
"
TEST_0185," 6권
 "
TEST_0186," 229권
 "
TEST_0187," 6912건
 "
TEST_0188," 20만건 이상 적어
 "
TEST_0189, 도서관 빅데이터를 활용해 시민들에게
TEST_0190, 14일이다. 
TEST_0191, 5개 권역(부산·광주전남·대구경북·
TEST_0192, 4개야. 정부가 의대 정원을 늘리려
TEST_0193, 얼마야?이번에 새로 나온 제품은 어
TEST_0194, 서울대병원은 응급도 낮은 수술을 일
TEST_0195," 3억원
 "
TEST_0196, 10개소이번에 새로 나온 제품은 어
TEST_0197, 3월이번에 새로 나온 제품은 어떤 
TEST_0198, 7월이번에 새로 나온 제품은 어떤 
TEST_0199, 50명이번에 새로 출시된 제품은 어
TEST_0200," 김혁표
 "
TEST_0201, 위니아 퓨어플렉스 공기청정기야. Q
TEST_0202, 위니아딤채가 펫 모드가 적용된 위니
TEST_0203, 동물자유연대야. 
TEST_0204, 5월이다. 
TEST_0205," 2021년 1월 1일
 "
TEST_0206," SGC에너지는 화력발전소, 수력발전"
TEST_0207," 우드팰릿
 "
TEST_0208," 2조2000억원
 "
TEST_0209," SGC의 로고는 ‘군장에너지, 이테"
TEST_0210, 오전 11시30분부터 오후 1시30
TEST_0211," 220억원
이번에 새로 나온 제품은"
TEST_0212," 396대
이번에 새로 나온 제품은 "
TEST_0213," 9억4852만원
이번에 새로 나온 "
TEST_0214, 2억5337만원이야.이번에 새로 나
TEST_0215, 10월 16일(금)이번에 새로 출시
TEST_0216, 명지대학교 LINC+사업단과 한국반
TEST_0217, 한양대 전형탁 교수야. 
TEST_0218, 장영철 교수야.이번에 새로 출시된 
TEST_0219, 한국산업기술대 김기현 교수야.이번에
TEST_0220," 34기
 "
TEST_0221," 12일
이번에 새로 나온 제품은 어"
TEST_0222," 10일
이번에 새로 나온 제품은 어"
TEST_0223," 2017년 10월
 "
TEST_0224, 법무부 검찰과와 대검 정책기획과다.
TEST_0225," 유아용품
 "
TEST_0226," 1억800만원
이번에 새로 나온 신"
TEST_0227," 89.6대 1
이번에 새로 나온 신"
TEST_0228," 8조6242억원
이번에 새로 나온 "
TEST_0229," 80% 이상
이번에 새로 나온 신제"
TEST_0230," 50만원 가까이
이번에 새로 나온 "
TEST_0231, 한국마스크산업협회 회장은 누구야?이
TEST_0232, Group TRD 회장은 한지운이야
TEST_0233," 박성대
이번에 새로 나온 제품은 어"
TEST_0234," 19일
 "
TEST_0235, 탄자니아야. 
TEST_0236, GS리테일은 전국에 1만 5000개
TEST_0237," 1800만명 이상
이번에 새로 출시"
TEST_0238," 25조원
이번에 새로 출시된 제품은"
TEST_0239," 600만건
이번에 새로 출시된 제품"
TEST_0240," TV홈쇼핑 시장
이번에 새로 출시된"
TEST_0241," 84
이번에 새로 나온 신"
TEST_0242," 89
이번에 새로 나온"
TEST_0243," 기계(90)와 소재(88) 부문
 "
TEST_0244," 68.6
이번에 새로 나"
TEST_0245," 7조8000억원
이번에 새로 나온 "
TEST_0246, 1500대이번에 새로 출시된 제품은
TEST_0247, 김학동이번에 새로 나온 제품은 어떤
TEST_0248, 포항 포스코 청송대 
TEST_0249, 일렉시티 
TEST_0250, 500만톤이번에 새로 출시된 제품은
TEST_0251, 국민이주 본사에서 개최돼.
TEST_0252," 1억달러
 "
TEST_0253," 2500달러
 "
TEST_0254, 2020년 12월 14일 오후 2시
TEST_0255," 아칸소주 미시시피카운티에 위치해.
"
TEST_0256, 3.98%이번에 새로 출시된 제품은
TEST_0257," 200여종
 "
TEST_0258, 드라이브스루 집회가 아닌 일반 집회
TEST_0259," 2012년
 "
TEST_0260," 울프 아우스프룽
 "
TEST_0261," 2013년
 "
TEST_0262," 40명
이번에 새로 나온 제품은 어"
TEST_0263, 온라인 수업으로 진행한 프로그램은 
TEST_0264," 28위
 "
TEST_0265," 5000만원
이번에 새로 나온 제품"
TEST_0266," 2017년 9월
이번에 새로 나온 "
TEST_0267," 2020년 7월
이번에 새로 나온 "
TEST_0268," 아파트
이번에 새로 나온 제품은 어"
TEST_0269," 2020년 7월
이번에 새로 나온 "
TEST_0270," 2022년
 "
TEST_0271," 2021년부터 2023년까지
 Qu"
TEST_0272, 63.8%이번에 새로 나온 신제품은
TEST_0273," 73만명
 "
TEST_0274, 문재인 대통령은 2017년 19대 
TEST_0275, 손해보험사는 손해를 보상해주는 보험
TEST_0276, 종신보험은 보험금을 한 푼도 받지 
TEST_0277, 암보험은 젊을 때 가입하는 게 좋지
TEST_0278, 저축성 보험은 보험료를 낸 만큼 원
TEST_0279, 57%이번에 새로 나온 제품은 어떤
TEST_0280," 왓챠, 웨이브, 티빙
 "
TEST_0281," 5일
 "
TEST_0282, 건별 영상 주문 방식이야.이번에 새
TEST_0283, 넷플릭스는 콘텐츠 저작권자와 계약을
TEST_0284," 건별 결제 방식은 무엇이야?
 Co"
TEST_0285, 2∼8℃야.이번에 새로 나온 제품은
TEST_0286, 서울대야.이번에 새로 출시된 제품은
TEST_0287, 38.5%야. 
TEST_0288, 40.7%야.이번에 새로 출시된 제
TEST_0289, 수두 백신은 살아있는 바이러스가 들
TEST_0290, 43.5%이번에 새로 나온 제품은 
TEST_0291," 송경환
 "
TEST_0292," 12억5200만원
 "
TEST_0293," 6억9100만원
 "
TEST_0294, 7억7700만원에서 37억8600만
TEST_0295, 코로나19로 방문객이 줄어 어려움을
TEST_0296, 23번째 부동산 대책이야.이번에 새
TEST_0297," 10만여 가구
 "
TEST_0298, 204%야.이번에 새로 나온 제품은
TEST_0299, 강남구야.이번에 새로 나온 제품은 
TEST_0300," 8000가구
 "
TEST_0301, 분당 소재 88평짜리 대형 주상복합
TEST_0302," 360만원
 "
TEST_0303," B씨의 처남
 "
TEST_0304," 빅데이터 분석
 "
TEST_0305, 85.7%이번에 새로 출시된 제품은
TEST_0306," 200㎾
 "
TEST_0307," 2018년
 "
TEST_0308," 300mm
 "
TEST_0309," 1만2721개
 "
TEST_0310," 문창열 명예교수
이번에 새로 나온 "
TEST_0311," 61대1
 "
TEST_0312," 10월 4일
 "
TEST_0313," 12일
 "
TEST_0314," 10월 4일
 "
TEST_0315," 26일
 "
TEST_0316," 2013년
 "
TEST_0317," 5억원
이번에 새로 나온 제품은 어"
TEST_0318," 324억3900만원
 "
TEST_0319," 305억7800만원
 "
TEST_0320," 5400만원
 "
TEST_0321," 146억9800만원
 "
TEST_0322," 234억2900만원
 "
TEST_0323," 6000만원
 "
TEST_0324," 킨텍스
 "
TEST_0325," 무엇이야?
이번에 새로 출시된 제품"
TEST_0326," 베이징, 상하이, 광저우, 청두, "
TEST_0327," N사
 "
TEST_0328, 지페어코리아는 코로나19로 인해 비
TEST_0329," 한화손해보험
 "
TEST_0330, 이명박 정부 땅값 상승률은 2.5%
TEST_0331," 2004년 6월 25일
 "
TEST_0332," 374회 임시회
 "
TEST_0333," 36명
이번에 새로 나온 제품은 어"
TEST_0334," 더불어민주당
 "
TEST_0335," 경기 고양시 화정동 1-1번지
 C"
TEST_0336," 4.9도
 "
TEST_0337, 선관주의 의무이번에 새로 나온 신제
TEST_0338," 아트리파라다이스
 "
TEST_0339," 사모사채
 "
TEST_0340," 하나은행
 "
TEST_0341, 유의동 의원은 옵티머스 사태를 파헤
TEST_0342," 12월10일
 "
TEST_0343, 미시간주와 오하이오주야.이번에 새로
TEST_0344," 67일
이번에 새로 나온 제품은 어"
TEST_0345, 2023년이야.이번에 새로 나온 제
TEST_0346," 11월3일
이번에 새로 나온 제품은"
TEST_0347," 29전대
 "
TEST_0348," 10일
이번에 새로 나온 제품은 어"
TEST_0349," 8세
이번에 새로 출시된 제품은 어"
TEST_0350," 2009년
 "
TEST_0351," 12명
이번에 새로 나온 제품은 어"
TEST_0352, 59조원 증가했어. 
TEST_0353," 2조9209억원
 "
TEST_0354, 2.28%야. 
TEST_0355," 229억원
 "
TEST_0356, 박셀바이오야. 
TEST_0357, 22%이번에 새로 출시된 제품은 어
TEST_0358," 7980만대
 "
TEST_0359, 삼성전자가 인도 시장에서 1위를 차
TEST_0360, 1.2%이번에 새로 출시된 제품은 
TEST_0361," 6억3500만대
 "
TEST_0362," 1만1777대
이번에 새로 나온 차"
TEST_0363," 8월 17일
 "
TEST_0364," 40만131명
 "
TEST_0365," 감염병예방법 제4조 1항, 제2항,"
TEST_0366," Test, Trace, Treatm"
TEST_0367, 5개 지자체가 손해배상청구를 제기했
TEST_0368," 81개
이번에 새로 출시된 제품은 "
TEST_0369," 전북 무주·장수, 경남 거창·산청 "
TEST_0370," 55건
이번에 새로 나온 제품은 어"
TEST_0371, 충북은 8월 들어 97건의 산사태가
TEST_0372," 12곳
이번에 새로 출시된 제품은 "
TEST_0373," 중구
 "
TEST_0374," 46조원
 "
TEST_0375, 2004~2006년이야.이번에 새로
TEST_0376, 3%야.이번에 새로 나온 제품은 어
TEST_0377, 해고자·실업자 노조가입허용과 노조 
TEST_0378, 대기업 정규직과 공무원이 속한 시장
TEST_0379, 노동개혁을 위해 대통령의 무엇을 강
TEST_0380," 2099억원
 "
TEST_0381, 씨젠이 올해 4분기에도 실적이 나아
TEST_0382, 9일(현지시간) 화이자가 코로나19
TEST_0383," CFX96
 "
TEST_0384," 60%대
 "
TEST_0385," 3000여명
이번에 새로 나온 신제"
TEST_0386," 해양수산부
 "
TEST_0387, E9 비자야.이번에 새로 나온 제품
TEST_0388," 해양경찰청
 "
TEST_0389," 베트남, 인도네시아, 중국, 필리핀"
TEST_0390," 22일
 "
TEST_0391," 4월 23일
 "
TEST_0392," 9월 21일
 "
TEST_0393," 54세
 "
TEST_0394," 31기
 "
TEST_0395, 여수시가 지급하기로 한 재난지원금은
TEST_0396, 여수시의 재난지원금 지급 대상은 2
TEST_0397, 여수시의 재난지원금 지급 총 규모는
TEST_0398, 여수시는 재난지원금을 선불카드로 지
TEST_0399, 여수시는 65세 이상 어르신에게는 
TEST_0400," 54명
 "
TEST_0401, 1 이하야.이번에 새로 나온 제품은
TEST_0402," 139개
10일 오전 10시 기준 "
TEST_0403," 11일
10일 오전 10시 기준 국"
TEST_0404," 11일
10일 오전 10시 기준 국"
TEST_0405," 8억6700만원
이번에 새로 나온 "
TEST_0406," 금시작비(今是昨非)
 "
TEST_0407," 충북 진천 법무연수원
 "
TEST_0408," 법사위
 "
TEST_0409," 4일
 "
TEST_0410," 라임자산운용 사건
 "
TEST_0411," 2021년 3월 13일
이번에 새로"
TEST_0412, 전태일 열사 50주기를 맞은 날은 
TEST_0413," 정의당 대변인
 "
TEST_0414," 국민의힘
 "
TEST_0415," 카이스트
 "
TEST_0416, 이마트는 올 추석에 위생 선물세트를
TEST_0417, 888.2%야. 이마트는 지난 2~
TEST_0418, 이마트는 올해 추석에 130종의 건
TEST_0419," 40대
 "
TEST_0420, 이마트는 다음 달 18일까지 추석 
TEST_0421," 황세운 자본시장연구원 연구위원
이번"
TEST_0422, 69.1%이번에 새로 출시된 제품은
TEST_0423," 3개월
 "
TEST_0424, 62.5%이번에 새로 나온 제품은 
TEST_0425, 75.6%이번에 새로 출시된 제품은
TEST_0426, 83%이번에 새로 나온 제품은 어떤
TEST_0427, 차량 단위 가맹계약이야.이번에 새로
TEST_0428, 부동산 관리업체야.
TEST_0429," 주당 8.50~9.75홍콩달러
"
TEST_0430," 23개
 "
TEST_0431," 헝다그룹, 칭화유니그룹, 화천그룹,"
TEST_0432," 46억 달러
"
TEST_0433, 25~30%이번에 새로 출시된 제품
TEST_0434, 중국은 메콩강을 끼고 있는 동남아시
TEST_0435," 59.25포인트
 "
TEST_0436, 개인이야. 개인은 이날 코스피에서 
TEST_0437," 서울
이번에 새로 나온 제품은 어떤"
TEST_0438, 5.39%이번에 새로 나온 제품은 
TEST_0439," 2억225만5530주
이번에 새로 "
TEST_0440," 47억원
145억원
145억원
14"
TEST_0441," 강남구 반포동
 "
TEST_0442," 삼성물산
 "
TEST_0443," 35층
 "
TEST_0444," 300% 
 "
TEST_0445, 6%
TEST_0446," 2008년
이번에 새로 나온 신제품"
TEST_0447, 7000억엔(7조 8000억원)이번
TEST_0448," 120개국
 "
TEST_0449, 824억 달러(약 97조원)이번에 
TEST_0450, 75%이번에 새로 나온 신제품은 어
TEST_0451," 디지털 인버터 컴프레서
 "
TEST_0452, 40dB(데시벨) 수준으로 작동해 
TEST_0453, 최대 70%까지 절감해 전기료 부담
TEST_0454," 5가지
 "
TEST_0455, 84만9000원이번에 출시된 신제품
TEST_0456, XD 플렉스(XD Flex) 마사지
TEST_0457," 2007년
 "
TEST_0458," 2009년
 "
TEST_0459," 2017년
 "
TEST_0460," 2013년
 "
TEST_0461," ​​449억8000만 달러
 "
TEST_0462," 390억 달러
 "
TEST_0463," ​​올해 1월
 "
TEST_0464," 80억 달러
 "
TEST_0465, 1.5%
TEST_0466," 68개
이번에 새로 나온 제품은 어"
TEST_0467," 279명
이번에 새로 나온 제품은 "
TEST_0468," 15개
이번에 새로 나온 제품은 어"
TEST_0469," 97개
이번에 새로 나온 제품은 어"
TEST_0470," 8월 초
 "
TEST_0471, 장미 한 송이의 원가는 576원이야
TEST_0472, 장미 한 송이의 도매가는 620원이
TEST_0473, 장미 한 송이의 최종 소비자가는 1
TEST_0474, 7~8000원 
TEST_0475, 장미 한 송이 가격은 2500~30
TEST_0476," 중국과 러시아, 카자흐스탄, 키르기"
TEST_0477, 2015년이야. SCO는 1996년
TEST_0478, 인도와 파키스탄은 2015년 7월에
TEST_0479," 아프가니스탄, 벨라루스, 이란, 몽"
TEST_0480," SCO는 테러리즘과 민족 분리주의,"
TEST_0481, 5억7000만원이야. 
TEST_0482, 2066억2000만원이야.이번에 새
TEST_0483, 41개야.이번에 새로 나온 제품은 
TEST_0484," 69년
 "
TEST_0485, 송유관 안전관리법 일부 개정 법률안
TEST_0486," 600만원
 "
TEST_0487," 위챗
 "
TEST_0488," 2019년
 "
TEST_0489, 25.5%이번에 새로 나온 제품은 
TEST_0490, 16만165명이야.이번에 새로 나온
TEST_0491, 19기 5중전회야. 19기 5중전회
TEST_0492," 2011년
 "
TEST_0493, 10.5%야. 중국의 총자본 증가율
TEST_0494," 2025년
이번에 새로 나온 신제품"
TEST_0495," 미국
 "
TEST_0496," GQ1003
 "
TEST_0497, 진퀀텀이야.이번에 새로 나온 제품은
TEST_0498," 2578억위안
 "
TEST_0499, 삼성바이오로직스는 2018년에 60
TEST_0500, 위탁개발(CDO)이야.이번에 새로 
TEST_0501, 동절기에는 실내활동이 늘어날 수 있
TEST_0502," 10월 11일까지
 "
TEST_0503," 한복 챌린지
 "
TEST_0504," 67명
 "
TEST_0505, 동작구이번에 새로 나온 제품은 어떤
TEST_0506," 142명
 "
TEST_0507," 395명
 "
TEST_0508," 에이스
 "
TEST_0509," 37세
이번에 새로 나온 제품은 어"
TEST_0510, 55.7세야. 한화그룹은 올해 8월
TEST_0511, 박흥권 ㈜한화 전략실장이야. 한화그
TEST_0512," 한화솔루션
 "
TEST_0513, 5013억원이야. 한화그룹은 올해 
TEST_0514," 성윤모 산업통상자원부 장관
 "
TEST_0515," 32만 개
 "
TEST_0516," 2조8000억원
이번에 새로 나온 "
TEST_0517, “이유 여하를 막론하고 유감”이라고
TEST_0518, 강훈식 의원이야. 강 의원은 국감 
TEST_0519," 5000t
이번에 새로 출시된 제품"
TEST_0520," 30년
 "
TEST_0521, 대만 서부 먀오리현(苗栗縣) 해상풍
TEST_0522," 5000억원
이번에 새로 나온 제품"
TEST_0523," 아프리카
 "
TEST_0524, 6억원이야.이번에 새로 나온 신제품
TEST_0525, 95.5%이번에 새로 나온 신제품은
TEST_0526, 1억원 이하야.이번에 새로 나온
TEST_0527," 4785억원
 "
TEST_0528, 내년부터 2023년까지 3년간이야.
TEST_0529," 5일(현지시간)
 "
TEST_0530, GDP의 1%이번에 새로 나온 제품
TEST_0531," 1.2%
 "
TEST_0532, 코로나19로 인한 경제적 충격을 완
TEST_0533," 인프라의 유지와 보수
 "
TEST_0534," 11개 농가
"
TEST_0535," 2021년
2. 화순군은 아스파라거"
TEST_0536," 4억원
"
TEST_0537, 춘양면이야.이번에 새로 출시된 제품
TEST_0538, 한경대학교야.이번에 새로 출시된 제
TEST_0539," 150억원
 "
TEST_0540," 2020년 11월
 "
TEST_0541, 70만원이야.이번에
TEST_0542," 한국조폐공사
 "
TEST_0543," 2월
 "
TEST_0544, 삼성디스플레이 대비 30%가량 저렴
TEST_0545," 프란체스카 홍
 "
TEST_0546," 26번
이번에 새로 나온 제품은 어"
TEST_0547," 32세
 "
TEST_0548, 5000명 정도였어.이번에 새로 나
TEST_0549," 영하 2도
이번에 새로 나온 제품은"
TEST_0550," 롯데, 신한, 현대 등 7대 카드
"
TEST_0551," 3개
이번에 새로 나온 제품은 어떤"
TEST_0552," 2021년 5월 31일
 "
TEST_0553," 2일
이번에 새로 나온 제품은 어떤"
TEST_0554, 세종시이번에 새로 나온 제품은 어떤
TEST_0555, 6.53%이번에 새로 나온 제품은 
TEST_0556, 금강이 24회 1위를 기록한 정장구
TEST_0557," 현대자동차, 기아자동차, 르노삼성자"
TEST_0558," LG전자
 "
TEST_0559, 금복주가 12회 1위를 기록한 소주
TEST_0560," 교보문고
 "
TEST_0561," 4번 출구
이번에 새로 나온 제품은"
TEST_0562," 9억원
이번에 새로 나온 제품은 어"
TEST_0563," 4명
이번에 새로 나온 제품은 어떤"
TEST_0564," 50~100명
이번에 새로 나온 제"
TEST_0565," 2020년 5월 5일
이번에 새로 "
TEST_0566, 은평구(39.4%)
TEST_0567, 과천시(65.4% · 5억 5387
TEST_0568, 14.2%
TEST_0569," 평택시, 여주시, 안성시
• 반면 "
TEST_0570, 47%
TEST_0571," 경북대병원
 "
TEST_0572," 질병관리본부장
 "
TEST_0573, 중앙사고수습본부 1총괄조정관(보건복
TEST_0574," 42명
 "
TEST_0575," 고대구로병원
 "
TEST_0576," 1200대
제주특별자치도는 다음 달"
TEST_0577," 150만원
 "
TEST_0578," 260만원
제주특별자치도는 다음 달"
TEST_0579," 최대 20만원
 "
TEST_0580, 전기이륜차 보급물량의 10%는 취약
TEST_0581," 8개
이번에 새로 나온 제품은 어떤"
TEST_0582," 217만원
이번에 새로 나온 차량은"
TEST_0583, 소형 스포츠유틸리티차량(SUV)이야
TEST_0584, 무이자 할부야.이번에 새로 나온 제
TEST_0585, 6.9%이번에 새로 나온 제품은 어
TEST_0586, 코로나19로 인해 극장에서 개봉하기
TEST_0587," 아리엘 챈들러
 "
TEST_0588, 25파운드(11㎏)야.이번에 새로 
TEST_0589, 자몽ㆍ레몬ㆍ오렌지ㆍ수박ㆍ딸기 등 저
TEST_0590, 자전거 타기야.이번에 출시된 신제품
